#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2380.000000255495,-18943.863619445347,5515.180092501011,-13428.683526944336,293.8054162174383,27.7
2390.000000257532,-19312.840066587567,5569.730647058614,-13743.109419528953,296.3049083037866,27.7
2400.0000002595693,-19255.24003459642,5706.018851444723,-13549.221183151698,303.6686418029846,27.7
2410.0000002616066,-19352.620299947936,5732.925204014225,-13619.695095933712,305.6440693213399,27.7
2420.000000263644,-19315.32031162551,5451.945774105885,-13863.374537519625,291.8802838916681,27.7
2430.000000265681,-19176.272901253462,5292.570082821184,-13883.702818432277,280.336209666501,27.7
2440.0000002677184,-19235.496117205734,5590.28305546012,-13645.213061745613,298.8557792076068,27.7
2450.0000002697557,-19257.323579446485,5628.689924864977,-13628.633654581508,299.98932270271735,27.7
2460.000000271793,-19212.94825948098,5517.379671492124,-13695.568587988859,293.2687523203213,27.7
2470.00000027383,-19337.02045620071,5598.684500643701,-13738.33595555701,299.5927801529789,27.7
2480.0000002758675,-19188.41075574385,5649.499463685624,-13538.911292058227,299.7673481801977,27.7
2490.0000002779047,-19504.7340561322,5533.593430508648,-13971.140625623553,294.1295989170723,27.7
2500.000000279942,-19395.909873065204,5654.599304109552,-13741.310568955652,302.3323917627218,27.7
2510.0000002819793,-19030.00335948328,5586.708354657193,-13443.295004826086,298.67460747507346,27.7
2520.0000002840166,-19226.166117867946,5673.950745820422,-13552.215372047525,303.07374140867915,27.7
2530.000000286054,-19222.634359697095,5612.00746472033,-13610.626894976765,298.35024302529104,27.7
2540.000000288091,-19059.40023226493,5547.260647337648,-13512.139584927281,296.8764183297215,27.7
2550.0000002901284,-19358.00731477814,5596.7009738359075,-13761.306340942232,298.343715280427,27.7
2560.0000002921656,-18938.736952984167,5517.782387339007,-13420.95456564516,293.7540364416564,27.7
2570.000000294203,-19219.2328246916,5533.345643210081,-13685.88718148152,294.9030099104342,27.7
2580.00000029624,-19215.781053934606,5610.164877100003,-13605.616176834603,299.0593474164375,27.7
2590.0000002982774,-19258.347851577073,5607.741289128203,-13650.60656244887,298.66194616247464,27.7
2600.0000003003147,-18982.11441630614,5673.717847081063,-13308.396569225077,302.8332056012832,27.7
2610.000000302352,-19200.596151976435,5596.233214876189,-13604.362937100246,298.5374421033565,27.7
2620.0000003043892,-19260.505116374803,5223.932415647874,-14036.572700726929,278.0464357355119,27.7
2630.0000003064265,-19003.604826184903,5528.293735211003,-13475.3110909739,294.83805823887405,27.7
2640.0000003084638,-19460.88870407016,5500.598023407808,-13960.29068066235,294.1568874680011,27.7
2650.000000310501,-19253.01280830647,5600.6476279509825,-13652.365180355488,298.7721319258791,27.7
2660.0000003125383,-19111.595638859224,5600.8602384653095,-13510.735400393914,299.27739777591324,27.7
2670.0000003145756,-19192.114988679186,5518.87378678754,-13673.241201891648,294.9519480433642,27.7
2680.000000316613,-19143.995836885922,5485.091295790567,-13658.904541095355,294.07595192739615,27.7
2690.00000031865,-19125.41886406291,5493.318736990773,-13632.100127072139,293.53895444460306,27.7
2700.0000003206874,-19187.484626959624,5644.700900096835,-13542.783726862788,300.07257131711737,27.7
2710.0000003227246,-19038.988433229515,5628.653898649566,-13410.33453457995,300.83235838039525,27.7
2720.000000324762,-19554.175323169733,5341.016325389474,-14213.158997780258,284.71048724189484,27.7
2730.000000326799,-19032.525975091834,5529.259075392154,-13503.26689969968,296.10945395514324,27.7
2740.0000003288364,-19106.438420947077,5595.203464065659,-13511.234956881417,298.6081048945762,27.7
2750.0000003308737,-19082.08731794155,5537.020124315062,-13545.067193626488,293.70866335145445,27.7
2760.000000332911,-19125.661090467234,5356.939529106589,-13768.721561360646,284.804090404905,27.7
2770.0000003349483,-19097.231682767197,5477.061613008901,-13620.170069758296,292.7574301628674,27.7
2780.0000003369855,-19312.032837078517,5562.261831575752,-13749.771005502766,296.0557811832704,27.7
2790.000000339023,-19504.375221267615,5560.117835082125,-13944.25738618549,295.72363797055027,27.7
2800.00000034106,-19300.823017291896,5577.524603540326,-13723.29841375157,296.36783522935633,27.7
2810.0000003430973,-19132.332787966774,5627.998226584987,-13504.334561381787,301.073682970148,27.7
2820.0000003451346,-19020.851517310482,5553.258414697561,-13467.593102612922,295.32264017114244,27.7
2830.000000347172,-19320.558906486454,5391.864040859683,-13928.69486562677,287.56096186560035,27.7
2840.000000349209,-19069.677185328575,5688.842705113116,-13380.83448021546,304.2850082026831,27.7
2850.0000003512464,-19372.229536999937,5579.758045068051,-13792.471491931887,298.2800494572955,27.7
2860.0000003532837,-19327.75057837915,5594.8177258531305,-13732.932852526019,297.9992175065661,27.7
2870.000000355321,-19459.21650134318,5656.80725558043,-13802.40924576275,300.43535281255475,27.7
2880.000000357358,-19317.900275522217,5510.027360019946,-13807.87291550227,293.70930253062033,27.7
2890.0000003593955,-19362.747670003482,5576.229225372974,-13786.518444630508,296.6922260561482,27.7
2900.0000003614327,-19446.40395344517,5653.1709398968915,-13793.233013548277,300.8578506027224,27.7
2910.00000036347,-19239.020983668343,5470.767812021678,-13768.253171646666,291.6662827546442,27.7
2920.0000003655073,-19244.537369049078,5620.8830955779395,-13623.654273471138,299.62794390865395,27.7
2930.0000003675445,-19270.74847888968,5581.406942110319,-13689.34153677936,296.74990135589417,27.7
